# t[days] ztfg ztfr ztfi 
0.500 -14.545 -14.623 -14.147 
1.000 -14.608 -15.238 -15.203 
1.500 -14.479 -15.245 -15.373 
2.000 -14.243 -15.119 -15.362 
2.500 -14.020 -14.960 -15.274 
3.000 -13.784 -14.795 -15.185 
3.500 -13.561 -14.621 -15.055 
4.000 -13.350 -14.444 -14.924 
4.500 -13.146 -14.281 -14.798 
5.000 -12.935 -14.119 -14.671 
5.500 -12.741 -13.960 -14.535 
6.000 -12.553 -13.810 -14.409 
6.500 -12.388 -13.653 -14.285 
7.000 -12.214 -13.517 -14.158 
7.500 -12.052 -13.374 -14.055 
8.000 -11.880 -13.233 -13.916 
8.500 -11.738 -13.103 -13.809 
9.000 -11.582 -12.976 -13.697 
9.500 -11.440 -12.846 -13.588 
10.000 -11.292 -12.732 -13.484 
10.500 -11.152 -12.602 -13.386 
11.000 -11.016 -12.497 -13.283 
11.500 -10.876 -12.381 -13.189 
12.000 -10.745 -12.271 -13.099 
12.500 -10.603 -12.170 -13.004 
13.000 -10.482 -12.061 -12.913 
13.500 -10.343 -11.952 -12.815 
14.000 -10.189 -11.837 -12.721 
14.500 -10.042 -11.717 -12.616 
15.000 -9.870 -11.512 -12.416 
