# t[days] ztfg ztfr ztfi 
0.500 -15.014 -15.180 -14.786 
1.000 -14.866 -15.524 -15.481 
1.500 -14.661 -15.435 -15.534 
2.000 -14.391 -15.250 -15.461 
2.500 -14.114 -15.028 -15.313 
3.000 -13.837 -14.806 -15.148 
3.500 -13.600 -14.607 -14.985 
4.000 -13.375 -14.409 -14.822 
4.500 -13.162 -14.226 -14.668 
5.000 -12.963 -14.052 -14.529 
5.500 -12.764 -13.878 -14.375 
6.000 -12.593 -13.719 -14.243 
6.500 -12.420 -13.572 -14.115 
7.000 -12.253 -13.434 -13.998 
7.500 -12.105 -13.295 -13.876 
8.000 -11.958 -13.167 -13.773 
8.500 -11.807 -13.046 -13.667 
9.000 -11.670 -12.921 -13.558 
9.500 -11.525 -12.804 -13.461 
10.000 -11.382 -12.687 -13.360 
10.500 -11.253 -12.576 -13.263 
11.000 -11.120 -12.459 -13.165 
11.500 -10.991 -12.358 -13.061 
12.000 -10.855 -12.249 -12.972 
12.500 -10.726 -12.146 -12.874 
13.000 -10.596 -12.040 -12.781 
13.500 -10.476 -11.938 -12.690 
14.000 -10.337 -11.828 -12.609 
14.500 -10.188 -11.723 -12.513 
15.000 -10.018 -11.541 -12.327 
