mjd,flux_ztfg,flux_ztfi,flux_ztfr,flux_error_ztfg,flux_error_ztfi,flux_error_ztfr,type,obj_id,mjd_0,redshift,mag_ztfg,abs_mag_ztfg,mag_error_ztfg,mag_ztfr,abs_mag_ztfr,mag_error_ztfr,mag_ztfi,abs_mag_ztfi,mag_error_ztfi,t,rise,fade
57983.231,385.37490609365904,440.3417882796715,404.9402086282624,29.250027084402124,17.182906612192205,24.797304731037745,Kilonova,AT2017gfo,57983.231,0.00984,17.435291420230634,-15.778388213626528,0.0824075799786845,17.38152274430776,-15.832156889549402,0.0664871774974154,17.290525245480737,-15.923154388376425,0.0423673253558801,0.0,n,y
57983.23977777778,382.5594838458453,438.232032501871,402.5025880530447,28.78957482596656,16.890214898927027,24.36103198301556,Kilonova,AT2017gfo,57983.231,0.00984,17.443252567958954,-15.770427065898208,0.0817072508408671,17.388078307038153,-15.825601326819008,0.0657130045726438,17.295739702319608,-15.917939931537552,0.0418461373469588,0.008777777777778,n,y
57983.248555555554,379.73817660826467,436.11987642488265,400.0652201239174,28.3328730214739,16.606596650642857,23.92770890340054,Kilonova,AT2017gfo,57983.231,0.00984,17.451289348229928,-15.762390285627234,0.0810085156540975,17.39467300648635,-15.819006627370811,0.0649373615764162,17.300985299110206,-15.912694334746956,0.0413427229440288,0.017555555555556,n,y
57983.257333333335,376.9109791323867,434.0055669061514,397.62814763140057,27.879986465719917,16.33205441160936,23.497397429151636,Kilonova,AT2017gfo,57983.231,0.00984,17.459403029239052,-15.75427660461811,0.0803115652499116,17.401307199970564,-15.812372433886598,0.0641603851698899,17.306261749599383,-15.90741788425778,0.0408573164145574,0.026333333333334,n,y
57983.26611111111,374.0778860898243,431.8893507201609,395.1914133538163,27.430981054593538,16.066586883360397,23.070161099083244,Kilonova,AT2017gfo,57983.231,0.00984,17.467594911762102,-15.74608472209506,0.0796165995651906,17.40798125063086,-15.8056983832263,0.0633822201305057,17.31156876101166,-15.9021108728455,0.0403901486273487,0.035111111111112,n,y
57983.27488888889,371.2388920718464,429.7714745589488,392.7550600527405,26.985923763745472,15.810188639549178,22.646065076584943,Kilonova,AT2017gfo,57983.231,0.00984,17.47586633027486,-15.7378133035823,0.0789238279578499,17.41469552756703,-15.798984106290131,0.0626030196674111,17.316906033842272,-15.896773600014887,0.0399414461549139,0.04388888888889,n,y
57983.28366666667,368.3939915881465,427.65218503097486,390.3191304681456,26.54488262093118,15.56284981756501,22.2251761686584,Kilonova,AT2017gfo,57983.231,0.00984,17.484218654123588,-15.729460979733574,0.078233469520916,17.42145040598119,-15.792229227875971,0.0618229457380115,17.322273261650743,-15.891406372206418,0.0395114302874891,0.052666666666668,n,y
57983.29244444444,365.5431790658486,425.5317286614145,387.8836673137372,26.107926671006453,15.324555788149208,21.8075628410537,Kilonova,AT2017gfo,57983.231,0.00984,17.492653288745867,-15.721026345111294,0.077545753391765,17.428246267324,-15.785433366533162,0.061042169364968,17.3276701308472,-15.886009503009962,0.0391003159585031,0.061444444444446,n,y
57983.301222222224,362.6864488483989,423.41035189140047,385.44871327220704,25.67512593287016,15.095286804155256,21.393295228428872,Kilonova,AT2017gfo,57983.231,0.00984,17.50117167694571,-15.712507956911452,0.0768609190543363,17.435083499445252,-15.77859613441191,0.0602608709506344,17.333096320477665,-15.880583313379496,0.038708310581605,0.070222222222224,n,y
57983.31,359.82379519486375,421.28830107827383,383.0143109897937,25.246551347341224,14.87501763066938,20.98244513868051,Kilonova,AT2017gfo,57983.231,0.00984,17.50977530022409,-15.703904333633073,0.076179216630876,17.441962496750868,-15.771717137106291,0.0594792405864534,17.338551502003046,-15.875128131854115,0.0383356128017249,0.0790000000000021,n,y
57983.31877777778,356.95521227873263,419.1658224949304,380.5805030725874,24.82227471489192,14.66371715845058,20.575086050508087,Kilonova,AT2017gfo,57983.231,0.00984,17.518465680170703,-15.69521395368646,0.0755009071596519,17.448883660359463,-15.764795973497698,0.0586974783539814,17.344035339076633,-15.869644294780528,0.0379824111624829,0.0877777777777801,n,y
57983.32755555555,354.0806941873857,417.043162329789,378.14733208026934,24.402368622253256,14.461348004133905,20.17129310273116,Kilonova,AT2017gfo,57983.231,0.00984,17.527244379916763,-15.6864352539404,0.0748262628546834,17.455847398270862,-15.7578322355863,0.057915794613551,17.349547487316237,-15.864132146540925,0.0376488826959323,0.0965555555555581,n,y
57983.33633333333,351.2002349205343,414.9205666864691,375.714840522405,23.98690635655308,14.267866099952268,19.77114307451868,Kilonova,AT2017gfo,57983.231,0.00984,17.536113005657306,-15.677566628199855,0.0741555673427878,17.462854125532267,-15.750825508324894,0.0571344102767156,17.355087594073197,-15.858592039783964,0.0373351914393414,0.1053333333333361,n,y
57983.34511111111,348.31382838965413,412.7982815834802,373.283070852674,23.575961805670666,14.083220277322276,19.37471435428482,Kilonova,AT2017gfo,57983.231,0.00984,17.545073208240677,-15.668606425616485,0.0734891158721845,17.469904264415312,-15.743775369441847,0.0563535570558901,17.360655298197543,-15.85302433565962,0.0370414868880223,0.1141111111111141,n,y
57983.35388888889,345.4214684170824,410.6765529546491,370.8520654642546,23.169609343526684,13.907351848023604,18.98208689620678,Kilonova,AT2017gfo,57983.231,0.00984,17.55412668483302,-15.659552949024144,0.0728272154873541,17.476998244595073,-15.736681389262088,0.0555734776865172,17.366250229797313,-15.847429404059849,0.0367679023919745,0.1228888888888921,n,y
57983.36266666667,342.52314873496556,408.5556266475948,368.42186668522737,22.767923698605635,13.740194187799442,18.59334216200573,Kilonova,AT2017gfo,57983.231,0.00984,17.563275180661496,-15.650404453195666,0.0721701851627971,17.484136503334387,-15.729543130522774,0.0547944261136736,17.37187200999911,-15.841807623858053,0.0365145535077136,0.1316666666666701,n,y
57983.37144444444,339.61886298424577,406.4357484251322,365.9925167726253,22.37097980419626,13.581672326824853,18.20856304566341,Kilonova,AT2017gfo,57983.231,0.00984,17.57252049084005,-15.641159143017113,0.0715183558884228,17.49131948567777,-15.72236014817939,0.0540166676347094,17.37752025069704,-15.836159383160124,0.036281536315479,0.1404444444444481,n,y
57983.38022222222,336.7086047139573,404.31716396386366,363.5640579086171,21.978852628590097,13.431702552072364,17.82783377909904,Kilonova,AT2017gfo,57983.231,0.00984,17.581864462281636,-15.631815171575523,0.0708720706979736,17.498547644644898,-15.715131989212264,0.0532404789893808,17.383194554305135,-15.830485079552028,0.0360689257150372,0.1492222222222262,n,y
57983.389,333.79236738053504,402.200118854619,361.1365321944946,21.59161698326225,13.290192026203467,17.451239815337168,Kilonova,AT2017gfo,57983.231,0.00984,17.591308995702853,-15.622370638154308,0.0702316846306815,17.505821441436577,-15.707858192420584,0.0524661483851867,17.38889451350099,-15.824785120356172,0.0358767737118762,0.1580000000000042,n,y
57983.397777777776,330.87014434615526,400.08485860219554,358.7099816462648,21.20934730736789,13.157038427709454,17.078867686464008,Kilonova,AT2017gfo,57983.231,0.00984,17.600856047729657,-15.612823586127504,0.0695975646167914,17.51314134564226,-15.7005382882149,0.0516939754460294,17.394619710967312,-15.81905992288985,0.0357051077070671,0.1667777777777822,n,y
57983.40655555556,327.94192887868644,397.971628625279,356.28444818936896,20.832117426073,13.032129616571517,16.710804832808616,Kilonova,AT2017gfo,57983.231,0.00984,17.610507633101566,-15.603172000755595,0.0689700892734188,17.52050783545663,-15.693171798400533,0.0509242710700186,17.400369719129067,-15.813309914728094,0.0355539288031388,0.1755555555555602,n,y
57983.41533333333,325.0077141502935,395.8606742560216,353.85997365346566,20.46000028102275,12.915343329211304,16.347139399034322,Kilonova,AT2017gfo,57983.231,0.00984,17.620265826990156,-15.593413806867003,0.0683496486000187,17.527921397902766,-15.685758235954395,0.050157357178636,17.406144099887676,-15.807535533969483,0.0354232101376581,0.1843333333333382,n,y
57983.42411111111,322.0675021224763,393.75223919343847,351.43661256059283,20.093064249629485,12.806541805671836,15.98795727353469,Kilonova,AT2017gfo,57983.231,0.00984,17.63013273747669,-15.583546896380472,0.0677366302920492,17.53538248953818,-15.678297144318982,0.0493935561395436,17.411942408614813,-15.801737225242348,0.0353128813302712,0.1931111111111162,n,y
57983.43288888889,319.12153292605393,391.6465255726648,349.0147623636895,19.73128557325505,12.705440023135871,15.63327162111966,Kilonova,AT2017gfo,57983.231,0.00984,17.640109726311476,-15.573569907545686,0.0671310735971829,17.54289050797812,-15.67078912587904,0.0486329256760209,17.417764304689765,-15.795915329167396,0.0352224654880594,0.2018888888888942,n,y
57983.441666666666,316.1703053729224,389.5436903937314,346.59519297402557,19.374540516786553,12.611595050527294,15.2830166139168,Kilonova,AT2017gfo,57983.231,0.00984,17.650197303263376,-15.563482330593786,0.0665326241337463,17.550443662330874,-15.663235971526287,0.0478752296397053,17.423609564280206,-15.790070069576956,0.0351510387249908,0.2106666666666722,n,y
57983.45044444445,313.2143311753849,387.44388830708687,344.1786929022317,19.02269914966008,12.524549547855946,14.937122984933584,Kilonova,AT2017gfo,57983.231,0.00984,17.66039593735262,-15.55328369650454,0.0659408945353863,17.558040047698444,-15.655639586158715,0.0471202185205406,17.429477963624123,-15.784201670233038,0.0350976162040172,0.2194444444444502,n,y
57983.45922222222,310.2541219515142,385.347273875488,341.76605054615635,18.675630613276592,12.443841809562716,14.595522376336897,Kilonova,AT2017gfo,57983.231,0.00984,17.670706099682626,-15.542973534174536,0.0653554840012487,17.565677700679124,-15.648001933178035,0.0463676454873806,17.435369272666904,-15.778310361190258,0.0350611785651056,0.2282222222222283,n,y
57983.468,307.29018922656763,383.254001573819,339.35805418839436,18.333203458236735,12.369008303354944,14.258147723134698,Kilonova,AT2017gfo,57983.231,0.00984,17.681128262821307,-15.532551371035854,0.0647759786731376,17.573354597446446,-15.640325036410715,0.045617267675642,17.441283254899844,-15.772396378957318,0.0350406781840729,0.2370000000000063,n,y
57983.476777777774,304.32304443433696,381.1642257882493,336.95549199447146,17.99528599554021,12.29958612959401,13.924933651611283,Kilonova,AT2017gfo,57983.231,0.00984,17.691662900145182,-15.52201673371198,0.0642019520955161,17.58106865181093,-15.63261098204623,0.0448688475885036,17.447219667197515,-15.766459966659646,0.0350350454238583,0.2457777777777843,n,y
57983.485555555555,301.35319891858825,379.07810081621307,334.5591520114227,17.661746662056625,12.235115371156509,13.595816892228877,Kilonova,AT2017gfo,57983.231,0.00984,17.702310485143258,-15.511369148713904,0.0636329657659993,17.58881771326802,-15.62486192058914,0.0441221546157286,17.453178259649988,-15.760501374207172,0.0350431947908745,0.2545555555555623,n,y
57983.494333333336,298.38116393435774,376.99578086596017,332.16982216504175,17.33245439991977,12.175141308499477,13.27073670709091,Kilonova,AT2017gfo,57983.231,0.00984,17.713071490679116,-15.500608143178043,0.0630685697822808,17.596599565040634,-15.617080068816527,0.0433769666756249,17.45915877539324,-15.75452085846392,0.0350640309191792,0.2633333333333403,n,y
57983.50311111111,295.4074506495438,374.9174200558642,329.7882902585778,17.007279049855207,12.119216479967784,12.94963533276568,Kilonova,AT2017gfo,57983.231,0.00984,17.723946388206944,-15.489733245650218,0.0625083035930554,17.604411922110554,-15.609267711746607,0.0426330719874099,17.465160950437358,-15.748518683419803,0.0350964543169046,0.2721111111111183,n,y
57983.51188888889,292.43257014633804,372.84317241483456,327.41534397029545,16.68609175854074,12.0669025726816,12.632458437960636,Kilonova,AT2017gfo,57983.231,0.00984,17.734935646940304,-15.478743986916855,0.0619516968615979,17.61225242925062,-15.60142720460654,0.0418902709777722,17.471184513488517,-15.742495120368645,0.0351393668216952,0.2808888888888963,n,y
57983.52066666666,289.4570334227367,370.7731918812042,325.0517708525061,16.368765399873737,12.017772134523272,12.319155596777843,Kilonova,AT2017gfo,57983.231,0.00984,17.74603973296991,-15.467639900887251,0.0613982704503151,17.62011865905297,-15.593560974804191,0.0411483783287542,17.477229185772416,-15.736450448084746,0.035191676725015,0.2896666666666743,n,y
57983.529444444444,286.48135139375546,368.7076323028144,322.69835832833,16.05517501072748,11.971410103007798,12.00968077749329,Kilonova,AT2017gfo,57983.231,0.00984,17.757259108328604,-15.456420525528555,0.060847537538022,17.628008109969947,-15.585671523887214,0.0404072251723243,17.483294680851202,-15.73038495300596,0.0352523035383436,0.2984444444444524,n,y
57983.538222222225,283.5060348935187,366.64664743668055,320.35589369082044,15.745198241013044,11.92741514969854,11.703992847041956,Kilonova,AT2017gfo,57983.231,0.00984,17.76859422999595,-15.44508540386121,0.0602990048793232,17.63591820435701,-15.57776142950015,0.0396666614366325,17.489380704438595,-15.724298929418566,0.0353201823819888,0.3072222222222304,n,y
